"variable","relative_importance","scaled_importance","percentage"
"num_var26_0",185.908462524414,0.017041670225029,0.00253578063093296
"ind_var37_cte",181.044174194336,0.0165957755278484,0.00246943202063737
"num_meses_var12_ult3",179.688201904297,0.0164714776218394,0.00245093663735856
"imp_var43_emit_ult1",175.022598266602,0.0160437957534906,0.0023872980747271
"num_var25_0",170.650619506836,0.0156430295955489,0.00232766453837634
"saldo_medio_var8_ult1",170.607543945312,0.0156390809882382,0.00232707699021907
"num_op_var39_hace3",169.853469848633,0.0155699572813001,0.00231679146333834
"imp_trans_var37_ult1",169.239974975586,0.0155137200494429,0.00230842342890288
"num_op_var41_hace3",165.943054199219,0.015211501226986,0.00226345362100436
"saldo_medio_var5_hace3",164.26252746582,0.0150574523902303,0.00224053133396884
"ind_var10_ult1",164.237655639648,0.0150551724646489,0.00224019208370445
"ind_var9_ult1",163.633056640625,0.014999750690837,0.00223194538847398
"num_sal_var16_ult1",163.421157836914,0.0149803265641196,0.00222905510109883
"num_var26",162.960983276367,0.0149381437446809,0.00222277834682074
"num_trasp_var11_ult1",161.992691040039,0.0148493833044681,0.00220957089695739
"ind_var9_cte_ult1",159.328094482422,0.0146051277434191,0.00217322595467608
"ind_var5_0",157.936874389648,0.0144775987772303,0.00215424979341523
"ind_var10cte_ult1",157.243667602539,0.0144140545936937,0.00214479449310177
"num_var25",148.268829345703,0.0135913581342687,0.00202237822055338
"imp_op_var40_efect_ult1",136.463424682617,0.0125091921564025,0.00186135318662816
"var3",135.362243652344,0.0124082501996935,0.00184633314133382
"ind_var12_0",127.572135925293,0.0116941544285856,0.0017400765244004
"var21",123.777725219727,0.0113463321989543,0.00168832098276272
"num_var40_0",121.714172363281,0.0111571725082444,0.00166017424165569
"ind_var26_cte",118.840110778809,0.0108937159174904,0.00162097220857418
"ind_var39_0",109.691452026367,0.0100550858554514,0.00149618503456155
"ind_var25_cte",108.017753601074,0.00990166294918506,0.00147335588525198
"ind_var41_0",107.62922668457,0.00986604785402103,0.00146805640067722
"saldo_var40",106.118682861328,0.00972758083995077,0.00144745267066331
"imp_op_var40_efect_ult3",105.999382019043,0.00971664489016029,0.00144582541410375
"saldo_var13_corto",104.804763793945,0.00960713782652003,0.00142953089089901
"num_var1_0",103.01342010498,0.0094429307323808,0.00140509706702601
"saldo_medio_var13_corto_ult1",98.4868087768555,0.00902798987146837,0.00134335435142417
"num_var12_0",97.9941329956055,0.00898282776277298,0.00133663428238342
"ind_var8",97.3093643188477,0.00892005707546118,0.00132729407740505
"ind_var1_0",95.8702697753906,0.00878813960221,0.00130766491141751
"num_var8",95.6301956176758,0.00876613272543971,0.00130439031385022
"ind_var24_0",93.4626388549805,0.00856743930910836,0.00127482496550268
"saldo_medio_var13_corto_ult3",91.9289932250977,0.00842685462182933,0.00125390612818799
"ind_var30_0",90.9646224975586,0.00833845365454559,0.00124075216747676
"num_var7_recib_ult1",88.4879531860352,0.00811142481954627,0.00120697054191701
"num_var24_0",88.3673782348633,0.00810037207602202,0.00120532590658624
"num_op_var40_efect_ult3",88.3182983398438,0.00809587306949889,0.00120465645966882
"num_op_var40_efect_ult1",86.6828460693359,0.00794595607333682,0.00118234898568912
"saldo_var13",83.6434631347656,0.00766734497110296,0.00114089197899445
"num_var13_0",82.0546569824219,0.0075217038844516,0.00111922075535722
"saldo_medio_var13_corto_hace2",81.5942535400391,0.00747950008410268,0.00111294087914418
"ind_var40_0",80.3486099243164,0.00736531567620209,0.00109595037257496
"ind_var7_recib_ult1",79.5577621459961,0.0072928210363491,0.00108516325481254
"ind_var13",79.2397766113281,0.00726367225772677,0.00108082595058885
"ind_var14_0",77.6931228637695,0.00712189515538138,0.0010597296833046
"num_var12",76.7529754638672,0.00703571466776667,0.00104690612737539
"ind_var26",76.4114151000977,0.00700440485538771,0.00104224726385202
"saldo_var12",76.2703704833984,0.00699147571912266,0.00104032342347237
"ind_var25",75.5921630859375,0.00692930648457161,0.00103107271396251
"ind_var12",68.534309387207,0.00628233424029053,0.00093480399944475
"ind_var26_0",66.6814422607422,0.00611248747747378,0.000909530999457647
"ind_var13_0",65.7677154541016,0.00602872888626659,0.000897067818885975
"saldo_medio_var8_hace2",64.7719955444336,0.00593745423364109,0.000883486257151319
"saldo_medio_var12_ult3",64.6451873779297,0.00592583010999413,0.000881756601125454
"num_var13",64.0513381958008,0.00587139373960074,0.000873656532773051
"ind_var25_0",62.7533187866211,0.00575240820006931,0.000855951623423157
"num_meses_var13_corto_ult3",61.3275604248047,0.00562171321452252,0.000836504362178608
"saldo_medio_var12_ult1",60.8162117004395,0.00557483941323186,0.000829529595278326
"ind_var32_cte",60.7004508972168,0.00556422796818672,0.000827950624645966
"num_op_var40_ult1",55.9763259887695,0.00513118163076659,0.000763513835280472
"imp_op_var40_comer_ult3",51.735237121582,0.00474241375603814,0.000705665629462153
"num_var14_0",50.5281410217285,0.00463176288310695,0.000689200908770478
"imp_sal_var16_ult1",49.3802337646484,0.00452653767356864,0.000673543520456437
"imp_op_var40_ult1",48.6511573791504,0.00445970543171261,0.00066359896090432
"saldo_var24",48.4330062866211,0.00443970817646326,0.00066062339267283
"num_var24",48.2722129821777,0.00442496873732473,0.000658430181339389
"saldo_medio_var12_hace2",46.274299621582,0.00424182602199524,0.000631178759143289
"imp_op_var40_comer_ult1",43.6578712463379,0.00400198589351016,0.000595490828071855
"ind_var13_corto",43.5407295227051,0.00399124786363979,0.000593893021765307
"ind_var24",42.9078025817871,0.00393322935250158,0.000585259935052728
"imp_aport_var13_hace3",41.554988861084,0.00380922098305423,0.000566807634476207
"imp_var7_recib_ult1",38.3275146484375,0.00351336811845166,0.000522785073673254
"num_op_var40_comer_ult3",37.4397048950195,0.00343198526564943,0.000510675400202231
"num_var13_corto",37.1984748840332,0.00340987243528234,0.000507385036863453
"ind_var13_corto_0",31.482364654541,0.00288589378375577,0.000429417625335209
"num_var32_0",29.6903743743896,0.00272162741854506,0.000404974981995984
"imp_aport_var13_ult1",28.8235340118408,0.00264216676680436,0.000393151329798475
"saldo_var32",28.6818046569824,0.00262917486264945,0.000391218149630104
"ind_var19",28.5010738372803,0.00261260781138647,0.00038875299174654
"ind_var14",27.2333908081055,0.0024964031166689,0.000371461868857921
"num_var1",26.920166015625,0.00246769074097995,0.00036718950088115
"num_op_var40_comer_ult1",25.8925857543945,0.00237349554564645,0.000353173365801689
"num_aport_var13_hace3",25.8687801361084,0.00237131335613863,0.000352848658550939
"ind_var39",25.8193130493164,0.00236677885690898,0.000352173930360234
"num_reemb_var17_ult1",25.6961803436279,0.00235549165171259,0.000350494407406414
"num_var14",24.5094699859619,0.00224670947852177,0.000334307747054135
"ind_var40",23.6314430236816,0.00216622338479218,0.000322331510286028
"num_op_var40_ult3",22.9225044250488,0.00210123711335707,0.000312661628977113
"num_var13_corto_0",22.7459049224854,0.00208504876752426,0.000310252822019366
"saldo_medio_var13_corto_hace3",22.016487121582,0.00201818522914377,0.000300303605580951
"ind_var1",21.8982601165771,0.00200734771479059,0.000298690996099523
"saldo_medio_var8_hace3",21.8050689697266,0.00199880516233786,0.000297419874269192
"num_var39",21.1418018341064,0.00193800545670395,0.000288372949063089
"num_var32",21.0128974914551,0.0019261891828872,0.000286614701316322
"num_var40",20.6227359771729,0.00189042424905574,0.0002812929209228
"saldo_var1",20.5640659332275,0.00188504614239277,0.000280492664931048
"imp_reemb_var17_ult1",19.8058738708496,0.00181554495391093,0.000270150969237381
"num_aport_var17_ult1",19.274263381958,0.00176681381753962,0.000262899833045799
"num_var31_0",18.7457027435303,0.00171836225179751,0.000255690296637403
